School,Phase 1,2A,2B,2C,2C(S),3
↳ Vacancy (240),180,109,41,121,11,0
↳ Applied,71,47,1,110,28,-
↳ Taken,71,47,1,110,11,-
,,,,,,
,,,,,SC<1,
Kong Hwa,,,,,,
↳ Vacancy (270),210,100,29,57,0,-
↳ Applied,110,74,57,84,-,-
↳ Taken,110,74,29,57,-,-
,,,,,,
,,,SC<1,SC<1,,
Kranji,,,,,,
↳ Vacancy (120),60,25,20,60,39,23
↳ Applied,35,25,0,21,16,-
↳ Taken,35,25,0,21,16,-
Kuo Chuan Presbyterian,,,,,,
↳ Vacancy (240),180,92,32,67,0,-
↳ Applied,88,57,36,76,-,-
↳ Taken,88,57,32,67,-,-
,,,,,,
,,,SC>2,SC1-2,,
Lakeside,,,,,,
↳ Vacancy (240),180,98,39,119,7,0
↳ Applied,82,42,0,112,19,-
↳ Taken,82,42,0,112,7,-
,,,,,,
,,,,,SC<1,
Lianhua,,,,,,
↳ Vacancy (320),260,207,84,252,216,165
↳ Applied,53,17,0,36,51,-
↳ Taken,53,17,0,36,51,-
Maha Bodhi,,,,,,
↳ Vacancy (330),270,129,30,63,0,-
↳ Applied,141,99,42,82,-,-
↳ Taken,141,99,30,63,-,-
,,,,,,
,,,SC>2,SC1-2,,
Maris Stella High,,,,,,
↳ Vacancy (270),210,140,26,55,0,-
↳ Applied,70,122,30,77,-,-
↳ Taken,70,122,26,55,-,-
,,,,,,
,,,SC1-2,SC<1,,
Marsiling,,,,,,
↳ Vacancy (210),150,98,48,143,69,65
↳ Applied,52,15,0,74,4,-
↳ Taken,52,15,0,74,4,-
Marymount Convent,,,,,,
↳ Vacancy (240),180,143,65,188,132,70
↳ Applied,38,9,7,56,62,-
↳ Taken,38,9,7,56,62,-
Mayflower,,,,,,
↳ Vacancy (180),120,83,40,121,91,45
↳ Applied,37,23,0,30,46,-
↳ Taken,37,23,0,30,46,-
Mee Toh,,,,,,
↳ Vacancy (300),240,132,55,116,0,-
↳ Applied,108,28,49,145,-,-
↳ Taken,108,28,49,116,-,-
,,,,,,
,,,,SC<1,,
